index,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Current_Role,Did you switch careers into Data?,Current Salary(USD),Industry,Programming_Language,Happiness_Index(Salary),Happiness_Index(Work/Life Balance),Happiness_Index(Coworkers),Happiness_Index(Management),Happiness_Index(Upward Mobility),Happiness_Index(Learning New Things),How difficult was it for you to break into Data?,"If you were to look for a new job today, what would be the most important thing to you?",Gender,Country,Education,Ethnicity,Salary,Age_group
0,6/10/2022,8:38,0:00:44,Data Analyst,Yes,106k-125k,Healthcare,Python,Overjoyed,Overjoyed,Very happy,Somewhat happy,Somewhat happy,7.0,Very Difficult,Remote Work,Male,United States,Others,White or Caucasian,115.5,26-30
1,6/10/2022,8:40,0:01:30,Data Analyst,No,41k-65k,Finance,R,Very unhappy,Unhappy,Somewhat happy,Unhappy,Very unhappy,3.0,Very Difficult,Remote Work,Male,Canada,Others,Asian or Asian American,53.0,36-40
2,6/10/2022,8:42,0:02:18,Data Engineer,No,0-40k,Clean Energy,Python,Extremely unhappy,Extremely happy,Very happy,Somewhat happy,Very happy,7.0,Easy,Good Work/Life Balance,Male,Nigeria,Others,Black or African American,20.0,21-25
3,6/10/2022,8:43,0:02:10,Analytics Consultant,Yes,150k-225k,Finance,R,Ecstatic,Happy,Very happy,Ecstatic,Very happy,10.0,Very Easy,Remote Work,Female,Canada,Others,White or Caucasian,187.5,31-35
4,6/10/2022,8:44,0:01:51,Data Analyst,Yes,41k-65k,Healthcare,R,Very unhappy,Neutral,Neutral,Neutral,Extremely unhappy,1.0,Difficult,Better Salary,Male,United States,Others,Black or African American,53.0,41-45
5,6/10/2022,8:44,0:02:34,Data Analyst,Yes,0-40k,Coworking space ,Python,Unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,2.0,Difficult,Good Work/Life Balance,Male,Republic democratic of Congo ,Others,Black or African American,20.0,31-35
6,6/10/2022,8:44,0:01:15,Data Scientist,Yes,0-40k,Finance,Python,Extremely unhappy,Happy,Happy,Happy,Happy,5.0,Difficult,Better Salary,Male,Other,Others,Black or African American,20.0,21-25
7,6/10/2022,8:45,0:01:25,Data Engineer,Yes,125k-150k,Retail,SQL,Ecstatic,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,9.0,Neither easy nor difficult,Remote Work,Male,United States,Others,Asian or Asian American,137.5,31-35
8,6/10/2022,8:45,0:02:10,Data Analyst,Yes,86k-105k,Healthcare,R,Neutral,Neutral,Neutral,Neutral,Somewhat happy,5.0,Neither easy nor difficult,Better Salary,Male,United States,Others,Asian or Asian American,95.5,31-35
9,6/10/2022,8:45,0:01:27,Data Analyst,Yes,41k-65k,Telecommunication,Python,Unhappy,Extremely unhappy,Somewhat unhappy,Somewhat unhappy,Extremely unhappy,4.0,Very Difficult,Better Salary,Male,United States,Others,Hispanic or Latino,53.0,26-30
10,6/10/2022,8:45,0:01:29,Data Analyst,Yes,66k-85k,Logistics,Python,Ecstatic,Ecstatic,Extremely happy,Extremely happy,Extremely happy,10.0,Neither easy nor difficult,Remote Work,Male,Canada,Others,White or Caucasian,75.5,36-40
11,6/10/2022,8:45,0:02:31,Data Analyst,Yes,0-40k,Igaming,Python,Somewhat unhappy,Extremely happy,Ecstatic,Ecstatic,Very happy,8.0,Neither easy nor difficult,Better Salary,Male,Serbia,Others,White or Caucasian,20.0,31-35
12,6/10/2022,8:46,0:03:20,Data Analyst,Yes,0-40k,Tech,R,Very unhappy,Ecstatic,Overjoyed,Overjoyed,Somewhat happy,10.0,Neither easy nor difficult,Better Salary,Male,Argentina,Others,Latino with Italian roots,20.0,31-35
13,6/10/2022,8:46,0:00:55,Data Scientist,Yes,0-40k,Education,Python,Somewhat unhappy,Ecstatic,Ecstatic,Happy,Very happy,8.0,Easy,Good Work/Life Balance,Male,United Kingdom,Others,White or Caucasian,20.0,26-30
14,6/10/2022,8:47,0:01:24,Data Analyst,No,41k-65k,Construction,R,Neutral,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,5.0,Neither easy nor difficult,Good Culture,Male,United States,Others,White or Caucasian,53.0,31-35
15,6/10/2022,8:47,0:00:47,Data Analyst,Yes,41k-65k,Finance,Python,Neutral,Ecstatic,Very happy,Very happy,Very happy,5.0,Difficult,Good Culture,Male,United States,Others,White or Caucasian,53.0,26-30
16,6/10/2022,8:48,0:01:06,Data Analyst,Yes,0-40k,Tech,Python,Very unhappy,Unhappy,Neutral,Unhappy,Unhappy,2.0,Neither easy nor difficult,Better Salary,Male,Niger,Others,Black or African American,20.0,21-25
17,6/10/2022,8:48,0:01:04,Student/Looking/None,Yes,0-40k,Retail,Python,Very unhappy,Somewhat unhappy,Unhappy,Unhappy,Neutral,1.0,Difficult,Better Salary,Male,United States,Others,Black or African American,20.0,21-25
18,6/10/2022,8:49,0:01:05,Student/Looking/None,No,41k-65k,Tech,R,Very happy,Extremely happy,Extremely happy,Happy,Extremely happy,3.0,Very Difficult,Better Salary,Female,Canada,Others,Asian or Asian American,53.0,26-30
